"Streamer";"Date";"Duration";"Viewers"
"Riot Games";"Oct 18, 2020, 18:17";"4.6 hrs";"22.261"
"Riot Games";"Oct 18, 2020, 08:29";"5.4 hrs";"457.366"
"Riot Games";"Oct 17, 2020, 18:17";"6.3 hrs";"27.577"
"Riot Games";"Oct 17, 2020, 08:21";"7.4 hrs";"515.211"
"Riot Games";"Oct 16, 2020, 18:17";"5.3 hrs";"20.892"
"Riot Games";"Oct 16, 2020, 08:28";"6.3 hrs";"295.818"
"Riot Games";"Oct 15, 2020, 18:23";"4.7 hrs";"16.846"
"Riot Games";"Oct 15, 2020, 08:30";"5.6 hrs";"286.211"
"Riot Games";"Oct 11, 2020, 16:17";"7.8 hrs";"25.637"
"Riot Games";"Oct 11, 2020, 06:30";"8.7 hrs";"273.643"
"Riot Games";"Oct 10, 2020, 16:18";"7.1 hrs";"38.971"
"Riot Games";"Oct 10, 2020, 06:30";"8.1 hrs";"331.270"
"Riot Games";"Oct 9, 2020, 16:17";"7.1 hrs";"24.412"
"Riot Games";"Oct 9, 2020, 06:30";"7.9 hrs";"233.041"
"Riot Games";"Oct 8, 2020, 16:17";"8.3 hrs";"30.381"
"Riot Games";"Oct 8, 2020, 06:30";"9.1 hrs";"363.870"
"Riot Games";"Oct 6, 2020, 17:32";"9.7 hrs";"22.327"
"Riot Games";"Oct 6, 2020, 06:29";"8.8 hrs";"319.005"
"Riot Games";"Oct 5, 2020, 16:19";"7.4 hrs";"35.368"
"Riot Games";"Oct 5, 2020, 06:42";"8.2 hrs";"302.706"
"Riot Games";"Oct 4, 2020, 16:17";"7.8 hrs";"35.674"
"Riot Games";"Oct 4, 2020, 06:31";"8.7 hrs";"388.743"
"Riot Games";"Oct 3, 2020, 16:25";"7.8 hrs";"38.643"
"Riot Games";"Oct 3, 2020, 06:38";"8.4 hrs";"458.720"
"Riot Games";"Sep 30, 2020, 18:32";"7.0 hrs";"10.914"
"Riot Games";"Sep 30, 2020, 04:58";"7.6 hrs";"163.855"
"Riot Games";"Sep 29, 2020, 16:33";"8.7 hrs";"16.971"
"Riot Games";"Sep 29, 2020, 04:56";"9.5 hrs";"222.834"
"Riot Games";"Sep 28, 2020, 16:32";"7.4 hrs";"21.743"
"Riot Games";"Sep 28, 2020, 07:13";"7.7 hrs";"216.504"
"Riot Games";"Sep 27, 2020, 16:32";"7.5 hrs";"26.716"
"Riot Games";"Sep 27, 2020, 06:52";"8.2 hrs";"212.520"
"Riot Games";"Sep 26, 2020, 16:32";"8.4 hrs";"31.997"
"Riot Games";"Sep 26, 2020, 06:45";"9.3 hrs";"246.497"
"Riot Games";"Sep 25, 2020, 16:32";"5.9 hrs";"17.512"
"Riot Games";"Sep 25, 2020, 06:51";"7.5 hrs";"250.071"
"Riot Games";"Sep 15, 2020, 11:06";"3.1 hrs";"96.953"
"Riot Games";"Sep 6, 2020, 08:00";"19.1 hrs";"11.060"
"Riot Games";"Sep 5, 2020, 17:29";"8.1 hrs";"7.651"
"Riot Games";"Sep 5, 2020, 11:50";"5.1 hrs";"7.234"
"Riot Games";"Sep 4, 2020, 17:29";"3.9 hrs";"15.325"
"Riot Games";"Sep 3, 2020, 14:30";"8.6 hrs";"22.650"
"Riot Games";"Sep 1, 2020, 17:31";"2.5 hrs";"2.941"
"Riot Games";"Aug 30, 2020, 12:20";"13.1 hrs";"2.756"
"Riot Games";"Aug 29, 2020, 12:25";"11.7 hrs";"9.512"
"Riot Games";"Aug 28, 2020, 13:55";"5.7 hrs";"2.881"
"Riot Games";"Aug 24, 2020, 15:01";"0.2 hrs";"2.055"
"Riot Games";"Aug 23, 2020, 12:17";"12.6 hrs";"4.786"
"Riot Games";"Aug 22, 2020, 13:27";"9.6 hrs";"3.658"
"Riot Games";"Aug 21, 2020, 14:29";"8.9 hrs";"3.022"
"Riot Games";"Aug 20, 2020, 18:31";"6.5 hrs";"1.801"
"Riot Games";"Aug 16, 2020, 19:00";"3.9 hrs";"1.896"
"Riot Games";"Aug 16, 2020, 11:25";"5.0 hrs";"11.993"
"Riot Games";"Aug 16, 2020, 00:00";"5.1 hrs";"9.961"
"Riot Games";"Aug 15, 2020, 18:32";"4.4 hrs";"2.134"
"Riot Games";"Aug 14, 2020, 18:52";"10.7 hrs";"10.357"
"Riot Games";"Aug 13, 2020, 18:51";"4.5 hrs";"2.309"
"Riot Games";"Aug 9, 2020, 12:50";"12.2 hrs";"1.982"
"Riot Games";"Aug 8, 2020, 12:51";"11.7 hrs";"2.296"
"Riot Games";"Aug 7, 2020, 23:02";"4.2 hrs";"991"
"Riot Games";"Aug 7, 2020, 14:29";"7.1 hrs";"1.740"
"Riot Games";"Aug 6, 2020, 15:30";"2.1 hrs";"9.180"
