Streamer,Date,Duration,Viewers
alanzoka,2020-10-15T18:18:16Z,3h41m18s,1566
alanzoka,2020-10-14T18:21:49Z,7h51m44s,990281
alanzoka,2020-10-13T18:22:24Z,9h6m54s,950811
alanzoka,2020-10-09T18:21:31Z,4h7m44s,581670
alanzoka,2020-10-08T18:14:49Z,7h50m0s,909457
alanzoka,2020-10-07T18:01:43Z,7h30m48s,812202
alanzoka,2020-10-06T18:28:11Z,6h38m11s,1160931
alanzoka,2020-10-06T17:10:41Z,1h48m3s,12258
alanzoka,2020-10-05T18:21:49Z,6h17m54s,819181
alanzoka,2020-10-02T18:32:05Z,8h4m14s,985121
alanzoka,2020-10-01T18:32:16Z,7h32m15s,1201682
alanzoka,2020-09-30T18:15:34Z,8h27m32s,881890
alanzoka,2020-09-29T18:26:59Z,7h17m25s,1376060
alanzoka,2020-09-29T17:50:01Z,2h46m41s,15751
alanzoka,2020-09-29T17:48:49Z,22m23s,4093
alanzoka,2020-09-29T17:47:05Z,5h27m36s,28214
alanzoka,2020-09-29T17:45:21Z,6h14m14s,8023
alanzoka,2020-09-29T17:44:07Z,6h39m30s,10108
alanzoka,2020-09-28T22:51:00Z,2h55m16s,324360
alanzoka,2020-09-28T18:22:43Z,4h20m55s,619531
alanzoka,2020-09-25T18:42:33Z,5h53m52s,750375
alanzoka,2020-09-24T18:33:32Z,7h7m43s,1334022
alanzoka,2020-09-23T18:20:38Z,7h0m17s,896172
alanzoka,2020-09-22T18:29:33Z,6h59m44s,778948
alanzoka,2020-09-21T18:33:01Z,7h11m50s,737296
alanzoka,2020-09-19T01:02:14Z,2h30m2s,366576
alanzoka,2020-09-18T21:32:24Z,3h26m46s,452078
alanzoka,2020-09-18T18:37:08Z,2h54m14s,454465
alanzoka,2020-09-17T18:40:58Z,9h4m40s,3688780
alanzoka,2020-09-17T06:59:32Z,5h52m13s,39531
alanzoka,2020-09-16T18:14:37Z,9h29m7s,2912524
alanzoka,2020-09-15T18:20:47Z,8h35m39s,720672
alanzoka,2020-09-15T02:15:42Z,2h4m13s,8043
alanzoka,2020-09-15T02:15:42Z,3h34m35s,38595
alanzoka,2020-09-14T18:21:59Z,7h15m22s,782576
alanzoka,2020-09-11T18:33:45Z,9h12m18s,799110
alanzoka,2020-09-10T22:48:33Z,2h0m48s,174898
alanzoka,2020-09-10T18:28:46Z,4h18m2s,502749
alanzoka,2020-09-09T18:28:42Z,6h42m39s,948454
alanzoka,2020-09-07T21:36:41Z,3h31m59s,9912
alanzoka,2020-09-04T22:07:38Z,4h11m52s,654895
alanzoka,2020-09-03T18:18:26Z,7h32m40s,853730
alanzoka,2020-09-02T18:58:42Z,6h36m58s,745177
alanzoka,2020-09-01T18:14:38Z,7h39m5s,957588
alanzoka,2020-08-31T18:16:05Z,8h12m24s,1268398
alanzoka,2020-08-28T21:39:12Z,5h8m45s,712802
alanzoka,2020-08-28T18:21:58Z,33m48s,121825
alanzoka,2020-08-28T02:48:00Z,3h47m46s,75572
alanzoka,2020-08-27T17:32:04Z,6h31m20s,818427
alanzoka,2020-08-25T18:16:01Z,8h3m30s,917650
alanzoka,2020-08-25T00:58:50Z,5h34m55s,6777
alanzoka,2020-08-24T18:33:04Z,6h2m24s,475894
